snapshotTime,open,high,low,close
2025:05:05-07:35:00,5637.5,5638.35,5635.1,5636.5
2025:05:05-07:40:00,5637.0,5645.5,5634.5,5638.0
2025:05:05-07:45:00,5637.35,5640.5,5631.35,5633.2
2025:05:05-07:50:00,5633.0,5639.85,5630.2,5639.0
2025:05:05-07:55:00,5639.2,5643.35,5635.5,5640.2
2025:05:05-08:00:00,5640.0,5648.1,5630.1,5647.5
2025:05:05-08:05:00,5647.7,5654.2,5647.1,5652.5
2025:05:05-08:10:00,5652.7,5669.6,5652.1,5669.5
2025:05:05-08:15:00,5669.2,5674.2,5663.95,5674.2
2025:05:05-08:20:00,5674.5,5688.45,5669.0,5680.2
2025:05:05-08:25:00,5680.5,5686.35,5670.85,5683.5
2025:05:05-08:30:00,5683.7,5691.05,5673.05,5683.9
2025:05:05-08:35:00,5683.7,5685.55,5677.65,5683.7
2025:05:05-08:40:00,5683.4,5689.2,5677.05,5679.2
2025:05:05-08:45:00,5679.9,5684.7,5668.95,5671.2
2025:05:05-08:50:00,5671.4,5676.05,5664.3,5667.2
2025:05:05-08:55:00,5667.4,5669.9,5659.15,5668.7
2025:05:05-09:00:00,5668.9,5687.05,5662.65,5683.7
2025:05:05-09:05:00,5683.9,5690.2,5670.7,5674.7
2025:05:05-09:10:00,5674.05,5678.45,5661.7,5667.1
2025:05:05-09:15:00,5667.4,5674.5,5664.4,5671.1
2025:05:05-09:20:00,5670.9,5681.0,5669.0,5677.9
2025:05:05-09:25:00,5677.0,5682.1,5668.65,5672.1
2025:05:05-09:30:00,5672.4,5695.35,5670.0,5691.6
2025:05:05-09:35:00,5690.6,5699.6,5688.9,5698.6
2025:05:05-09:40:00,5699.2,5701.9,5690.8,5694.4
2025:05:05-09:45:00,5694.6,5701.2,5684.8,5687.4
2025:05:05-09:50:00,5687.7,5695.1,5686.5,5689.1
2025:05:05-09:55:00,5688.6,5699.15,5682.65,5683.4
2025:05:05-10:00:00,5682.9,5688.25,5673.75,5687.9
2025:05:05-10:05:00,5687.0,5690.6,5670.6,5675.4
2025:05:05-10:10:00,5675.1,5681.5,5672.5,5680.9
2025:05:05-10:15:00,5681.1,5705.25,5679.35,5700.9
2025:05:05-10:20:00,5700.1,5702.25,5693.1,5693.4
2025:05:05-10:25:00,5693.6,5703.6,5693.6,5702.8
2025:05:05-10:30:00,5702.6,5708.95,5700.45,5701.8
2025:05:05-10:35:00,5702.1,5707.6,5699.6,5703.3
2025:05:05-10:40:00,5703.6,5716.6,5698.2,5716.6
2025:05:05-10:45:00,5716.3,5719.6,5708.1,5718.8
2025:05:05-10:50:00,5718.6,5723.45,5716.7,5720.1
2025:05:05-10:55:00,5719.8,5731.85,5719.1,5729.8
2025:05:05-11:00:00,5730.4,5736.2,5727.95,5736.1
2025:05:05-11:05:00,5736.6,5738.95,5731.8,5735.1
2025:05:05-11:10:00,5735.3,5736.95,5725.3,5726.1
2025:05:05-11:15:00,5726.3,5735.1,5723.45,5730.8
2025:05:05-11:20:00,5730.6,5730.7,5722.1,5724.1
2025:05:05-11:25:00,5724.3,5731.4,5723.45,5730.8
2025:05:05-11:30:00,5731.0,5739.0,5730.15,5733.0
2025:05:05-11:35:00,5732.8,5736.9,5716.9,5720.5
2025:05:05-11:40:00,5720.3,5724.5,5713.15,5714.8
2025:05:05-11:45:00,5714.5,5720.4,5713.4,5716.5
2025:05:05-11:50:00,5717.1,5726.5,5714.3,5725.5
2025:05:05-11:55:00,5725.2,5725.5,5717.3,5721.5
2025:05:05-12:00:00,5721.0,5726.6,5718.4,5721.0
2025:05:05-12:05:00,5720.25,5734.0,5718.1,5733.0
2025:05:05-12:10:00,5732.2,5744.2,5729.2,5744.0
2025:05:05-12:15:00,5743.2,5749.2,5741.6,5747.5
2025:05:05-12:20:00,5747.3,5747.8,5731.5,5733.7
2025:05:05-12:25:00,5734.0,5735.1,5728.45,5730.7
2025:05:05-12:30:00,5730.1,5736.2,5722.1,5723.0
2025:05:05-12:35:00,5722.7,5725.7,5716.6,5718.7
2025:05:05-12:40:00,5718.5,5728.2,5712.6,5724.9
2025:05:05-12:45:00,5724.7,5726.2,5718.4,5721.2
2025:05:05-12:50:00,5720.9,5721.55,5713.65,5716.2
2025:05:05-12:55:00,5715.2,5722.8,5713.3,5714.4
2025:05:05-13:00:00,5714.7,5719.9,5713.45,5716.4
2025:05:05-13:05:00,5716.2,5717.9,5704.2,5706.1
2025:05:05-13:10:00,5706.7,5726.35,5705.15,5725.6
2025:05:05-13:15:00,5725.1,5725.5,5715.5,5716.6
2025:05:05-13:20:00,5716.4,5716.4,5698.6,5705.4
2025:05:05-13:25:00,5705.1,5705.1,5682.9,5686.6
2025:05:05-13:30:00,5685.9,5689.6,5679.4,5679.4
2025:05:05-13:35:00,5679.6,5689.35,5676.0,5686.6
2025:05:05-13:40:00,5685.95,5692.1,5685.3,5689.8
2025:05:05-13:45:00,5690.1,5691.5,5678.1,5682.6
2025:05:05-13:50:00,5682.0,5685.25,5674.5,5678.1
2025:05:05-13:55:00,5677.45,5711.75,5677.3,5707.4
2025:05:05-14:00:00,5708.15,5730.15,5707.25,5725.9
2025:05:05-14:05:00,5725.6,5726.9,5706.6,5706.8
2025:05:05-14:10:00,5706.6,5714.5,5703.6,5706.1
2025:05:05-14:15:00,5706.1,5716.85,5701.5,5706.8
2025:05:05-14:20:00,5707.1,5723.5,5706.8,5719.6
2025:05:05-14:25:00,5719.4,5726.9,5714.1,5725.9
2025:05:05-14:30:00,5725.25,5738.3,5716.75,5736.6
2025:05:05-14:35:00,5736.4,5737.65,5719.95,5720.8
2025:05:05-14:40:00,5720.3,5722.7,5712.3,5720.1
2025:05:05-14:45:00,5719.8,5738.2,5712.6,5737.4
2025:05:05-14:50:00,5738.0,5738.0,5721.95,5732.6
2025:05:05-14:55:00,5732.85,5743.2,5724.6,5726.6
2025:05:05-15:00:00,5727.8,5729.45,5704.95,5707.1
2025:05:05-15:05:00,5706.8,5706.8,5663.1,5664.8
2025:05:05-15:10:00,5665.1,5675.3,5651.65,5652.8
2025:05:05-15:15:00,5653.8,5670.8,5651.05,5656.5
2025:05:05-15:20:00,5656.3,5664.55,5652.0,5654.0
2025:05:05-15:25:00,5653.0,5670.4,5652.8,5658.5
2025:05:05-15:30:00,5658.15,5663.5,5652.0,5657.5
